43111, 17
43167, 2
43222, 17
43248, 8
43373, 17
43449, 9
43479, 1
43539, 18
43578, 13
43591, 18
43644, 15
43702, 3
43715, 6
43723, 19
43829, 12
43857, 11
44038, 3
44193, 17
44226, 18
44433, 19
44509, 7
44528, 5
44658, 3
44753, 15
44858, 7
44872, 19
44879, 3
44893, 19
45007, 5
45055, 20
45092, 11
45417, 18
45586, 7
45628, 4
45667, 20
45733, 13
45761, 13
45820, 20
45841, 18
45874, 16
45990, 15
46013, 6
46046, 17
46124, 20
46199, 12
46308, 18
46386, 19
46498, 17
46539, 16
46559, 14
46667, 5
46742, 14
46766, 17
46913, 18
46962, 12
46987, 10
47030, 14
47166, 15
47265, 6
47380, 1
47404, 5
47540, 6
47619, 5
47722, 19
47770, 6
47842, 19
47857, 11
48020, 6
48040, 12
48048, 1
48153, 5
48209, 9
48248, 1
48288, 16
48327, 9
48434, 20
48452, 10
48504, 7
48508, 6
48558, 12
48609, 4
48627, 15
48766, 14
48831, 18
48893, 2
48914, 13
49187, 6
49209, 19
49257, 3
49424, 11
49792, 1
49821, 3
49827, 15
49838, 7
49874, 18
49926, 20
